Income,Age,Gender,Marital,location,employment,Education,TimeSinceLast,Image1,Image2,Image3,Image4,Image5,Image6,Image7,Image8,Image9,Image10,Dependent,REST1,REST2,REST3,REST4,REST5,REST6,REST7,REST8,REST9,REST10,REST11,REST12,REST13,REST14,REST15,REST16,REST17,REST18,REST19,REST20,REST21,REST22,REST23,ATM1,ATM2,ATM3,SED1,SED2,SED3,SOC1,SOC2,SOC3,IND1,IND2,IND3,ADD1,ADD2,ADD3,SMM1,SMM2,SMM3,STM1,STM2,STM3,attention1,attention2,attention3,attention4,attention5,motor1,motor2,motor3,motor4,NP1,NP2,NP3,NP4,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,SC9,SC10,SC11,SC12,SC13
18000,30,Male,single,Leuven,yes,NONE,60,0.2,16,0.5,50,30,0.5,0.1,0.8,6,16,8,2,2,3,3,3,2,3,3,5,5,4,4,4,5,5,5,5,4,5,5,5,4,4,5,5,5,4,3,5,4,5,5,3,3,4,5,5,4,5,4,3,4,4,3,4,3,4,3,3,2,3,4,2,5,4,4,3,3,2,2,3,3,4,3,4,3,4,3,4,2
1000€,21,Male,Not married,Zagreb,Store employee,None right now,2,0.8,11,0.6,0,19,0.4,0.7,8,5,14,6,3,4,4,1,5,2,3,3,4,4,2,2,2,2,2,3,2,2,2,2,2,2,1,4,5,4,2,2,2,4,3,3,2,3,2,3,3,3,2,3,4,3,3,3,4,2,4,3,3,3,4,3,3,3,2,2,2,3,2,3,4,2,3,2,4,3,3,3,3,3
X,19,Female,Relationship,Antwerp,Yes,Student,2,0.7,12,0.6,50,22,0.4,0.8,8,6,16,9,4,4,4,1,4,4,4,4,5,4,4,4,4,4,4,2,4,4,4,4,4,4,2,4,4,4,4,2,4,2,4,2,2,4,4,4,4,2,2,2,4,4,4,4,3,3,3,3,2,5,3,2,2,3,3,3,3,1,2,5,3,3,3,4,2,3,2,1,3,4
X,19,Male,Single,Belgium,Yes,Highschool,1,1.75,15,1.55,40,19,1.5,1.9,7,6,20,8,1,2,2,2,3,2,1,1,2,1,2,4,2,2,2,4,3,4,3,3,3,3,4,5,5,5,4,4,4,2,2,2,3,3,2,5,5,5,5,4,3,4,4,4,3,3,3,5,2,3,3,3,2,4,4,4,4,3,3,4,4,3,3,3,3,4,2,3,3,3
None,20,Male,Single,Belgium,No,High school,90000,0.73,11,0.51,0,20,0.35,0.82,8,6,16,10,5,5,3,3,2,3,3,4,2,5,5,5,5,5,5,5,3,3,3,5,5,5,5,3,5,3,2,3,5,3,5,5,4,3,3,3,5,3,5,3,5,4,2,4,3,3,3,5,2,3,3,3,2,4,4,4,4,3,3,4,4,3,3,3,3,4,2,3,3,3
X,21,Female,Single,Zagreb,Student,Bachelor,1,0.9,13,0.6,35,20,0.4,0.8,8,6,16,10,2,1,4,2,5,2,3,3,4,4,2,3,2,2,5,4,4,5,2,5,4,5,4,4,5,4,1,3,1,2,3,2,2,2,3,3,4,1,4,3,4,1,3,2,2,2,4,3,2,4,3,4,4,3,3,3,3,3,3,3,2,3,3,4,4,4,2,3,3,2
X,21,Female,Single,Portugal,Student,Bachelor,10,0.8,10,0.7,20,20,0.5,0.9,8,6,16,10,3,2,4,2,2,4,4,4,4,2,3,3,2,2,2,3,2,2,2,4,2,2,2,3,5,5,2,3,2,2,4,2,3,3,4,2,3,2,4,4,4,2,4,2,4,1,2,2,2,5,4,5,4,2,2,3,3,3,3,3,5,4,3,3,3,4,3,3,4,5
X,21,Female,Single,Portugal,Student,Bachelor,15,0.7,11,0.5,26,18,0.4,0.8,9,6,16,12,2,3,4,1,5,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3,3,4,3,4,4,3,3,4,4,4,4,4,3,3,4,4,4,4,3,3,3,3,3,3,4,4,4,3,3,4,4,4,3,4,4
x,22,Female,Single,Spain,No,Bachelor,10000,0.8,9,0.57,0,21,0.37,0.66,9,6,16,2,2,2,3,2,4,2,2,2,3,2,4,4,2,3,3,3,4,4,4,5,4,4,3,3,5,4,3,4,4,3,3,2,2,4,4,5,5,5,4,3,3,4,5,5,4,2,3,3,3,2,3,4,3,3,3,3,3,2,2,3,4,3,3,2,4,3,3,3,3,2
X,23,Female,In a relation,Spain,No,Bachelor,1,0.7,10,0.4,30,20,0.3,0.8,9,20,17,1,2,1,2,2,3,1,1,2,2,1,2,3,3,2,3,3,3,2,3,3,3,3,2,3,3,5,3,3,4,2,4,3,5,5,5,4,5,4,3,3,3,4,4,5,3,3,3,3,4,3,2,4,3,4,4,3,4,2,3,4,4,4,3,4,4,4,3,3,4,3
X,19,Male,No,Aarschot,No,Criminology,45,0.7,11,0.5,32,20,0.3,0.8,8,6,20,4,2,3,2,2,5,3,2,3,2,2,1,2,NA,2,2,4,1,1,2,2,2,2,2,2,5,3,2,1,1,2,4,2,2,3,4,3,4,2,3,4,4,3,4,2,3,2,3,2,2,4,3,4,3,2,2,4,2,4,2,3,3,2,4,3,3,2,3,2,2,3
